,Unnamed: 0,report_date_x,cookie_id_x,customer_id,ga_session_id,event_timestamp,event_name_x,event_value_x,report_date_y,cookie_id_y,event_name_y,event_value_y,after_report_date,after_cookie_id,after_customer_id,after_ga_session_id,after_event_timestamp,after_event_name,after_event_value
0,8,2023-12-06,1884972372.1625528,12082,1701882982,2023-12-06 09:16:24,Event - Site Search,pea protein,2023-12-06,1884972372.1625528,Event - Search Result,exist search result,2023-12-06,1884972372.1625528,12082,1701882982,2023-12-06 09:18:52,Event - After Search Product Click,VITESSENCE™​ Pulse 1550 Pea Protein by Ingredion
1,8,2023-12-06,1884972372.1625528,12082,1701882982,2023-12-06 09:16:24,Event - Site Search,pea protein,2023-12-06,1884972372.1625528,Event - Search Result,exist search result,2023-12-06,1884972372.1625528,12082,1701882982,2023-12-06 09:18:57,Event - After Search Product Click,VITESSENCE™​ Pulse 1550 Pea Protein by Ingredion
2,8,2023-12-06,1884972372.1625528,12082,1701882982,2023-12-06 09:16:24,Event - Site Search,pea protein,2023-12-06,1884972372.1625528,Event - Search Result,exist search result,2023-12-06,1884972372.1625528,12082,1701882982,2023-12-06 09:19:03,Event - After Search Product Click,VITESSENCE™​ Pulse 1550 Pea Protein by Ingredion
3,8,2023-12-06,1884972372.1625528,12082,1701882982,2023-12-06 09:16:24,Event - Site Search,pea protein,2023-12-06,1884972372.1625528,Event - Search Result,exist search result,2023-12-06,1884972372.1625528,12082,1701882982,2023-12-06 09:19:05,Event - After Search Product Click,VITESSENCE™​ Pulse 1550 Pea Protein by Ingredion
4,8,2023-12-06,1884972372.1625528,12082,1701882982,2023-12-06 09:16:24,Event - Site Search,pea protein,2023-12-06,1884972372.1625528,Event - Search Result,exist search result,2023-12-06,1884972372.1625528,12082,1701882982,2023-12-06 09:19:59,Event - After Search Product Click,Pea Protein Isolate 80% (Organic) by Yosin
5,8,2023-12-06,1884972372.1625528,12082,1701882982,2023-12-06 09:16:24,Event - Site Search,pea protein,2023-12-06,1884972372.1625528,Event - Search Result,exist search result,2023-12-06,1884972372.1625528,12082,1701882982,2023-12-06 09:46:11,Event - After Search Product Click,Pea Protein Isolate YW800B by Yuwang Eco.
6,8,2023-12-06,1884972372.1625528,12082,1701882982,2023-12-06 09:16:24,Event - Site Search,pea protein,2023-12-06,1884972372.1625528,Event - Search Result,exist search result,2023-12-06,1884972372.1625528,12082,1701882982,2023-12-06 09:46:38,Event - After Search Product Click,Organic Pea protein 80% Powder by Qimei
7,9,2023-12-06,1884972372.1625528,12082,1701888217,2023-12-06 10:43:39,Event - Site Search,MCT Oil Powder,2023-12-06,1884972372.1625528,Event - Search Result,exist search result,2023-12-06,1884972372.1625528,12082,1701888217,2023-12-06 10:45:43,Event - After Search Product Click,MCT Oil Powder 70% on Gum Arabic by Connoils
8,9,2023-12-06,1884972372.1625528,12082,1701888217,2023-12-06 10:43:39,Event - Site Search,MCT Oil Powder,2023-12-06,1884972372.1625528,Event - Search Result,exist search result,2023-12-06,1884972372.1625528,12082,1701888217,2023-12-06 11:18:39,Event - After Search Product Click,Guar Gum Powder 235F by Neelkanth Polymers
9,9,2023-12-06,1884972372.1625528,12082,1701888217,2023-12-06 10:43:39,Event - Site Search,MCT Oil Powder,2023-12-06,1884972372.1625528,Event - Search Result,exist search result,2023-12-06,1884972372.1625528,12082,1701888217,2023-12-06 11:19:19,Event - After Search Product Click,Guar Gum Powder 270F by Neelkanth Polymers
