report_date,cookie_id,customer_id,ga_session_id,event_timestamp,event_name,event_value
2023-12-06,1214212691.1654123056,7423,1701897727,2023/12/06/14/07/13,Event - Product View,Magnesium Oxide Powder by HBMETALLURGY ||| 109299-HBMETALLURGY-12324
2023-12-06,1214212691.1654123056,7423,1701909763,2023/12/06/16/42/55,Event - Product View,Allulose Crystal (Non-GMO) by Baolingbao Biology ||| 106031-BAOLINGBAO-99999
2023-12-06,1225117682.1671831405,17347,1701933205,2023/12/06/23/24/41,Event - Product View,Tartaric Acid by Taroke ||| 97340-TAROKE-99999
2023-12-06,1239068965.1696889734,19019,1701903500,2023/12/06/15/02/38,Event - Product View,Garlic Powder by Novel Nutrientss ||| 63292-NOVEL-12874
2023-12-06,1257874133.1701873312,13012,1701878031,2023/12/06/07/54/05,Event - Product View,Taurine (Anti-Caking) 100 Mesh by Jiangyin Huachang Food Additive ||| 90050-JYHUACHANG-10302
2023-12-06,1257874133.1701873312,13012,1701883833,2023/12/06/09/30/40,Event - Product View,Calcium Lysinate HCl 20% by Nutrisol ||| 19111-NUTRISOLLLC-99999
2023-12-06,1265433854.1692046107,20684,1701892768,2023/12/06/12/20/34,Event - Product View,Shilajit Extract 40% Fulvic Acid by Novel Nutrientss ||| 85419-NOVEL-12874
2023-12-06,1275745599.1701864976,13176,1701892210,2023/12/06/11/52/15,Event - Product View,Lutein 5% (Marigold Flower Extract) by BannerBio ||| 108818-BANNERBIO-11353
2023-12-06,1275745599.1701864976,13176,1701902170,2023/12/06/14/44/29,Event - Product View,Lutein 5% Powder (Marigold Ext) by Undersun Biomedtech ||| 23950-SXUNDERSUN-11619
2023-12-06,1275745599.1701864976,13176,1701905274,2023/12/06/15/28/15,Event - Product View,Lutein 5% Powder by KS Nutripharma ||| 23950-KINGSCI-10738
2023-12-06,1275745599.1701864976,13176,1701905274,2023/12/06/15/29/05,Event - Product View,Lutein 5% CWS Powder by innoBio ||| 23950-INNOBIO-10703
2023-12-06,1296606523.1666210459,888,1701872441,2023/12/06/06/41/49,Event - Product View,PEA (Palmitoylethanolamide) by Wellness Nutrition ||| 108495-WELLNESSNUT-12189
2023-12-06,1296606523.1666210459,888,1701872441,2023/12/06/06/54/03,Event - Product View,Alpha Lipoic Acid by Jiangsu Tohope ||| 34000-TOHOPE-99999
2023-12-06,1296606523.1666210459,888,1701872441,2023/12/06/07/33/52,Event - Product View,Grape Seed Extract 95% Proanthocyanidins by Skyherb ||| 107936-SKYHERB-12568
2023-12-06,1296606523.1666210459,888,1701872441,2023/12/06/08/14/54,Event - Product View,Dandelion Extract 20:1 by SOST ||| 74214-SOST-11706
2023-12-06,1296606523.1666210459,888,1701872441,2023/12/06/08/41/16,Event - Product View,Alpha Lipoic Acid Granular by Jiangsu Tohope ||| 34001-TOHOPE-99999
2023-12-06,1296606523.1666210459,888,1701872441,2023/12/06/08/41/57,Event - Product View,Alpha-Lipoic Acid by Meteoric Biopharmaceuticals ||| 108624-METBIO-12626
2023-12-06,1296606523.1666210459,888,1701884645,2023/12/06/09/45/13,Event - Product View,"DL-Methionine by Hebei Changhao Biotechnology Co.,Ltd ||| 80200-HBCHANGHAO-99999"
2023-12-06,1296606523.1666210459,888,1701884645,2023/12/06/09/47/30,Event - Product View,L-Histidine HCL (Fermented) by CJ Indonesia ||| 11831-CJINDONESIA-11370
2023-12-06,1296606523.1666210459,888,1701895961,2023/12/06/12/52/50,Event - Product View,Phytosterols 95% Food Grade by Worldbestve ||| 46801-WORLDBESTVE-11850
2023-12-06,1296606523.1666210459,888,1701895961,2023/12/06/12/55/53,Event - Product View,Pygeum Africanum Extract 10:1 by Xi'an Herbs Valley ||| 109480-XAHVBT-12809
2023-12-06,1296606523.1666210459,888,1701895961,2023/12/06/13/38/52,Event - Product View,L-Lysine Mono HCl (20-160 Mesh) by Jizhou Huaheng ||| 11901-JZHUAHENG-99999
2023-12-06,1298172470.1697735691,2630,1701904813,2023/12/06/15/21/28,Event - Product View,Fucoidan 75% by Cactus Botanics Limited ||| 84611-CACTUS-99999
2023-12-06,1305225951.1689871875,18061,1701882603,2023/12/06/09/10/14,Event - Product View,Saffron Extract 2% Safranal (UV) by Monteloeder ||| 18030-MONTELOEDER-11851
2023-12-06,1351093334.1701293949,17283,1701890958,2023/12/06/11/29/54,Event - Product View,Shilajit Extract 40% Fulvic Acid by Novel Nutrientss ||| 85419-NOVEL-12874
2023-12-06,1351093334.1701293949,17283,1701890958,2023/12/06/11/30/55,Event - Product View,Shilajit Extract 40% Fulvic Acid by Novel Nutrientss ||| 85419-NOVEL-12874
2023-12-06,1357785597.1694453654,14846,1701899939,2023/12/06/13/59/27,Event - Product View,Psyllium Husk Powder by Novel Nutrientss ||| 15901-NOVEL-12874
2023-12-06,1357785597.1694453654,14846,1701899939,2023/12/06/14/00/55,Event - Product View,Green Coffee Bean Extract 4:1 by TRG ||| 107154-TRG-11248
2023-12-06,1357785597.1694453654,14846,1701899939,2023/12/06/14/02/57,Event - Product View,Green Tea Extract - 50% Polyphenols by Skyherb ||| 107941-SKYHERB-12568
2023-12-06,1376959022.1692031188,9616,1701880240,2023/12/06/10/06/43,Event - Product View,"L-Citrulline by Xintai Jiahe Biotech Co., Ltd ||| 17070-XTJIAHE-99999"
2023-12-06,1376959022.1692031188,9616,1701880240,2023/12/06/10/42/25,Event - Product View,Papain 2000 USP/g by Novel Nutrientss ||| 36711-NOVEL-11084
2023-12-06,1386490874.1701859108,(not set),1701859109,2023/12/06/02/39/18,Event - Product View,Potassium Sorbate Granular by Wanglong ||| 15650-NBWANGLONG-99999
2023-12-06,1386490874.1701859108,(not set),1701859109,2023/12/06/02/40/46,Event - Product View,Potassium Sorbate Granular by Wanglong ||| 15650-NBWANGLONG-10062
