,report_date,cookie_id,customer_id,ga_session_id,event_timestamp,visit_factory,event_timestamp_click,factory_product_click,product_id
51,2023-12-06,1506194014.1700596973,21269,1701897767,2023-12-06 14:19:39,Dr. Paul Lohmann,,,
52,2023-12-06,1506194014.1700596973,21269,1701897767,2023-12-06 14:21:15,Emsland-Starke,,,
53,2023-12-06,1506194014.1700596973,21269,1701897767,2023-12-06 14:21:35,Euroasia's Ingredients,,,
54,2023-12-06,1506194014.1700596973,21269,1701897767,2023-12-06 14:21:57,Farlong Pharmaceutical,,,
55,2023-12-06,1506194014.1700596973,21269,1701897767,2023-12-06 14:23:30,Gansu Aminbio Halal Gelatin,,,
56,2023-12-06,1506194014.1700596973,21269,1701897767,2023-12-06 14:24:29,Genu-In,,,
57,2023-12-06,1506194014.1700596973,21269,1701897767,2023-12-06 14:24:42,Glac Biotech,,,
58,2023-12-06,1506194014.1700596973,21269,1701897767,2023-12-06 14:26:01,Guangdong Yichao Biological,,,
59,2023-12-06,1506194014.1700596973,21269,1701897767,2023-12-06 14:41:55,Hebei Changhao Biotechnology,,,
60,2023-12-06,1506194014.1700596973,21269,1701897767,2023-12-06 14:44:25,Henan Jindan Lactic Acid Technology,,,
61,2023-12-06,1506194014.1700596973,21269,1701897767,2023-12-06 14:45:10,Henan Long Xiao Biological Technology,,,
62,2023-12-06,1506194014.1700596973,21269,1701897767,2023-12-06 14:45:21,Herb Green Health,,,
63,2023-12-06,1506194014.1700596973,21269,1701897767,2023-12-06 14:46:27,Hi-Tech Pharmaceuticals,,,
64,2023-12-06,1506194014.1700596973,21269,1701897767,2023-12-06 14:49:48,Hunan Bio-Essential Tech,,,
65,2023-12-06,1557091258.1701879664,(not set),1701883567,2023-12-06 09:26:07,Zhejiang Golden-Shell Pharmaceutical,,,
66,2023-12-06,1575559352.1701362194,(not set),1701852897,2023-12-06 01:09:15,MB Supplements,,,
67,2023-12-06,1614470504.1685356071,16260,1701914185,2023-12-06 18:09:39,Ningxia Qiyuan Pharmaceutical,,,
