report_date_x,cookie_id_x,customer_id_x,ga_session_id_x,event_timestamp_x,event_name_x,event_value_x,event_name_y,event_value_y,after_event_timestamp,after_event_name,after_event_value,report_date,cookie_id,customer_id_y,ga_session_id_y,event_timestamp_y,event_name,event_value
12/6/2023,1884972372.0,12082,1701882982,12/6/2023 9:16,Event - Site Search,pea protein,Event - Search Result,exist search result,12/6/2023 9:50,Event - After Search Product Click,Organic Pea protein 80% Powder by Qimei,2023-12-06,1884972372.1625528,12082.0,1701882982.0,2023/12/06/09/46/40,Event - Product View,Organic Pea protein 80% Powder by Qimei ||| 41125-QIMEI-11712
12/6/2023,1884972372.0,12082,1701882982,12/6/2023 9:16,Event - Site Search,pea protein,Event - Search Result,exist search result,12/6/2023 9:50,Event - After Search Product Click,Pea Protein Isolate YW800A by Yuwang Eco.,2023-12-06,1884972372.1625528,12082.0,1701882982.0,2023/12/06/09/50/28,Event - Product View,Pea Protein Isolate YW800A by Yuwang Eco. ||| 107966-YUWANG-11618
12/6/2023,1884972372.0,12082,1701882982,12/6/2023 9:16,Event - Site Search,pea protein,Event - Search Result,exist search result,12/6/2023 9:53,Event - After Search Product Click,Pea Protein Isolate 85% by Yosin,2023-12-06,1884972372.1625528,12082.0,1701882982.0,2023/12/06/09/53/03,Event - Product View,Pea Protein Isolate 85% by Yosin ||| 41122-YOSIN-11806
12/6/2023,1884972372.0,12082,1701882982,12/6/2023 9:16,Event - Site Search,pea protein,Event - Search Result,exist search result,12/6/2023 9:55,Event - After Search Product Click,Organic Pea protein 80% Powder by Qimei,2023-12-06,1884972372.1625528,12082.0,1701882982.0,2023/12/06/09/46/40,Event - Product View,Organic Pea protein 80% Powder by Qimei ||| 41125-QIMEI-11712
12/6/2023,1884972372.0,12082,1701888217,12/6/2023 10:43,Event - Site Search,MCT Oil Powder,Event - Search Result,exist search result,12/6/2023 10:45,Event - After Search Product Click,MCT Oil Powder 70% on Gum Arabic by Connoils,2023-12-06,1884972372.1625528,12082.0,1701888217.0,2023/12/06/10/45/45,Event - Product View,MCT Oil Powder 70% on Gum Arabic by Connoils ||| 89419-CONNOILS-99999
12/6/2023,1884972372.0,12082,1701888217,12/6/2023 10:43,Event - Site Search,MCT Oil Powder,Event - Search Result,exist search result,12/6/2023 10:45,Event - After Search Product Click,MCT Oil Powder 70% on Gum Arabic by Connoils,2023-12-06,1884972372.1625528,12082.0,1701888217.0,2023/12/06/10/45/45,Event - Product View,MCT Oil Powder 70% on Gum Arabic by Connoils ||| 89419-CONNOILS-99999
12/6/2023,1884972372.0,12082,1701888217,12/6/2023 10:53,Event - Site Search,avocado oil,Event - Search Result,exist search result,,,,,,,,,,
12/6/2023,1884972372.0,12082,1701888217,12/6/2023 11:18,Event - Site Search,guar gum,Event - Search Result,exist search result,12/6/2023 11:18,Event - After Search Product Click,Guar Gum Powder 235F by Neelkanth Polymers,2023-12-06,1884972372.1625528,12082.0,1701888217.0,2023/12/06/11/18/40,Event - Product View,Guar Gum Powder 235F by Neelkanth Polymers ||| 33760-NEEPO-11573
12/6/2023,1884972372.0,12082,1701888217,12/6/2023 11:18,Event - Site Search,guar gum,Event - Search Result,exist search result,12/6/2023 11:19,Event - After Search Product Click,Guar Gum Powder 270F by Neelkanth Polymers,2023-12-06,1884972372.1625528,12082.0,1701888217.0,2023/12/06/11/19/20,Event - Product View,Guar Gum Powder 270F by Neelkanth Polymers ||| 33763-NEEPO-11573
12/6/2023,1884972372.0,12082,1701888217,12/6/2023 11:18,Event - Site Search,guar gum,Event - Search Result,exist search result,12/6/2023 11:25,Event - After Search Product Click,Guar Gum Powder 260F by Neelkanth Polymers,2023-12-06,1884972372.1625528,12082.0,1701888217.0,2023/12/06/11/25/50,Event - Product View,Guar Gum Powder 260F by Neelkanth Polymers ||| 33762-NEEPO-11573
12/6/2023,1884972372.0,12082,1701888217,12/6/2023 11:28,Event - Site Search,soy protein,Event - Search Result,exist search result,12/6/2023 11:29,Event - After Search Product Click,Soy Protein Isolate 90% (YP928C) by Yuwang Eco.,2023-12-06,1884972372.1625528,12082.0,1701888217.0,2023/12/06/11/29/01,Event - Product View,Soy Protein Isolate 90% (YP928C) by Yuwang Eco. ||| 41130-YUWANG-11618
12/6/2023,1884972372.0,12082,1701888217,12/6/2023 11:28,Event - Site Search,soy protein,Event - Search Result,exist search result,12/6/2023 11:29,Event - After Search Product Click,Soy Protein Isolate 90% (YP901B) by Yuwang Eco.,2023-12-06,1884972372.1625528,12082.0,1701888217.0,2023/12/06/11/29/47,Event - Product View,Soy Protein Isolate 90% (YP901B) by Yuwang Eco. ||| 41134-YUWANG-11618
12/6/2023,1884972372.0,12082,1701888217,12/6/2023 11:28,Event - Site Search,soy protein,Event - Search Result,exist search result,12/6/2023 11:30,Event - After Search Product Click,Soy Protein Isolate 90% (YP928Z) by Yuwang Eco.,2023-12-06,1884972372.1625528,12082.0,1701888217.0,2023/12/06/11/30/25,Event - Product View,Soy Protein Isolate 90% (YP928Z) by Yuwang Eco. ||| 41131-YUWANG-11618
12/6/2023,1884972372.0,12082,1701888217,12/6/2023 11:28,Event - Site Search,soy protein,Event - Search Result,exist search result,12/6/2023 11:30,Event - After Search Product Click,Soy Protein Isolate 90% (YP928C) by Yuwang Eco.,2023-12-06,1884972372.1625528,12082.0,1701888217.0,2023/12/06/11/29/01,Event - Product View,Soy Protein Isolate 90% (YP928C) by Yuwang Eco. ||| 41130-YUWANG-11618
12/6/2023,1884972372.0,12082,1701900357,12/6/2023 14:06,Event - Site Search,resveratrol,Event - Search Result,exist search result,,,,,,,,,,
12/6/2023,1884972372.0,12082,1701900357,12/6/2023 14:10,Event - Site Search,cane sugar,Event - Search Result,exist search result,12/6/2023 14:10,Event - After Search Product Click,Organic Cane Sugar by Suzanne's Specialties,2023-12-06,1884972372.1625528,12082.0,1701900357.0,2023/12/06/14/10/56,Event - Product View,Organic Cane Sugar by Suzanne's Specialties ||| 109401-000-11117-66755
12/6/2023,1884972372.0,12082,1701900357,12/6/2023 14:10,Event - Site Search,cane sugar,Event - Search Result,exist search result,12/6/2023 14:14,Event - After Search Product Click,Soy Protein Isolate 90% (YP928C) by Yuwang Eco.,2023-12-06,1884972372.1625528,12082.0,1701888217.0,2023/12/06/11/29/01,Event - Product View,Soy Protein Isolate 90% (YP928C) by Yuwang Eco. ||| 41130-YUWANG-11618
12/6/2023,1884972372.0,12082,1701900357,12/6/2023 14:10,Event - Site Search,cane sugar,Event - Search Result,exist search result,12/6/2023 14:16,Event - After Search Product Click,Soy Protein Isolate 90% (YP901B) by Yuwang Eco.,2023-12-06,1884972372.1625528,12082.0,1701888217.0,2023/12/06/11/29/47,Event - Product View,Soy Protein Isolate 90% (YP901B) by Yuwang Eco. ||| 41134-YUWANG-11618
12/6/2023,1884972372.0,12082,1701900357,12/6/2023 14:10,Event - Site Search,cane sugar,Event - Search Result,exist search result,12/6/2023 14:17,Event - After Search Product Click,Soy Protein Isolate 90% (YP928C) by Yuwang Eco.,2023-12-06,1884972372.1625528,12082.0,1701888217.0,2023/12/06/11/29/01,Event - Product View,Soy Protein Isolate 90% (YP928C) by Yuwang Eco. ||| 41130-YUWANG-11618
12/6/2023,1884972372.0,12082,1701903883,12/6/2023 15:04,Event - Site Search,coconut creamer,Event - Search Result,exist search result,,,,,,,,,,
12/6/2023,1884972372.0,12082,1701903883,12/6/2023 15:12,Event - Site Search,coconut creamer,Event - Search Result,exist search result,,,,,,,,,,
