report_date_x,cookie_id_x,customer_id,ga_session_id,event_timestamp,event_name_x,event_value_x,report_date_y,cookie_id_y,event_name_y,event_value_y,after_report_date,after_cookie_id,after_customer_id,after_ga_session_id,after_event_timestamp,after_event_name,after_event_value
12/6/2023,1884972372.0,12082,1701882982,2023-12-06 09:16:24,Event - Site Search,pea protein,12/6/2023,1884972372.0,Event - Search Result,exist search result,2023-12-06,1884972372.1625528,12082.0,1701882982.0,2023-12-06 09:18:52,Event - After Search Product Click,VITESSENCE™​ Pulse 1550 Pea Protein by Ingredion
12/6/2023,1884972372.0,12082,1701882982,2023-12-06 09:16:24,Event - Site Search,pea protein,12/6/2023,1884972372.0,Event - Search Result,exist search result,2023-12-06,1884972372.1625528,12082.0,1701882982.0,2023-12-06 09:18:57,Event - After Search Product Click,VITESSENCE™​ Pulse 1550 Pea Protein by Ingredion
12/6/2023,1884972372.0,12082,1701882982,2023-12-06 09:16:24,Event - Site Search,pea protein,12/6/2023,1884972372.0,Event - Search Result,exist search result,2023-12-06,1884972372.1625528,12082.0,1701882982.0,2023-12-06 09:19:03,Event - After Search Product Click,VITESSENCE™​ Pulse 1550 Pea Protein by Ingredion
12/6/2023,1884972372.0,12082,1701882982,2023-12-06 09:16:24,Event - Site Search,pea protein,12/6/2023,1884972372.0,Event - Search Result,exist search result,2023-12-06,1884972372.1625528,12082.0,1701882982.0,2023-12-06 09:19:05,Event - After Search Product Click,VITESSENCE™​ Pulse 1550 Pea Protein by Ingredion
12/6/2023,1884972372.0,12082,1701882982,2023-12-06 09:16:24,Event - Site Search,pea protein,12/6/2023,1884972372.0,Event - Search Result,exist search result,2023-12-06,1884972372.1625528,12082.0,1701882982.0,2023-12-06 09:19:59,Event - After Search Product Click,Pea Protein Isolate 80% (Organic) by Yosin
12/6/2023,1884972372.0,12082,1701882982,2023-12-06 09:16:24,Event - Site Search,pea protein,12/6/2023,1884972372.0,Event - Search Result,exist search result,2023-12-06,1884972372.1625528,12082.0,1701882982.0,2023-12-06 09:46:11,Event - After Search Product Click,Pea Protein Isolate YW800B by Yuwang Eco.
12/6/2023,1884972372.0,12082,1701882982,2023-12-06 09:16:24,Event - Site Search,pea protein,12/6/2023,1884972372.0,Event - Search Result,exist search result,2023-12-06,1884972372.1625528,12082.0,1701882982.0,2023-12-06 09:46:38,Event - After Search Product Click,Organic Pea protein 80% Powder by Qimei
12/6/2023,1884972372.0,12082,1701888217,2023-12-06 10:43:39,Event - Site Search,MCT Oil Powder,12/6/2023,1884972372.0,Event - Search Result,exist search result,2023-12-06,1884972372.1625528,12082.0,1701888217.0,2023-12-06 10:45:43,Event - After Search Product Click,MCT Oil Powder 70% on Gum Arabic by Connoils
12/6/2023,1884972372.0,12082,1701888217,2023-12-06 11:18:32,Event - Site Search,guar gum,12/6/2023,1884972372.0,Event - Search Result,exist search result,2023-12-06,1884972372.1625528,12082.0,1701888217.0,2023-12-06 11:18:39,Event - After Search Product Click,Guar Gum Powder 235F by Neelkanth Polymers
12/6/2023,1884972372.0,12082,1701888217,2023-12-06 11:18:32,Event - Site Search,guar gum,12/6/2023,1884972372.0,Event - Search Result,exist search result,2023-12-06,1884972372.1625528,12082.0,1701888217.0,2023-12-06 11:19:19,Event - After Search Product Click,Guar Gum Powder 270F by Neelkanth Polymers
12/6/2023,1884972372.0,12082,1701882982,2023-12-06 09:16:24,Event - Site Search,pea protein,12/6/2023,1884972372.0,Event - Search Result,exist search result,2023-12-06,1884972372.1625528,12082.0,1701882982.0,2023-12-06 09:16:51,Event - After Search Product Click,Pea Protein Isolate 80% by Yosin
12/6/2023,1884972372.0,12082,1701882982,2023-12-06 09:16:24,Event - Site Search,pea protein,12/6/2023,1884972372.0,Event - Search Result,exist search result,2023-12-06,1884972372.1625528,12082.0,1701882982.0,2023-12-06 09:18:13,Event - After Search Product Click,VITESSENCE® Prista P 155 Pea Protein by Ingredion
12/6/2023,1884972372.0,12082,1701882982,2023-12-06 09:16:24,Event - Site Search,pea protein,12/6/2023,1884972372.0,Event - Search Result,exist search result,2023-12-06,1884972372.1625528,12082.0,1701882982.0,2023-12-06 09:48:18,Event - After Search Product Click,Organic Pea protein 80% Powder by Qimei
12/6/2023,1884972372.0,12082,1701882982,2023-12-06 09:16:24,Event - Site Search,pea protein,12/6/2023,1884972372.0,Event - Search Result,exist search result,2023-12-06,1884972372.1625528,12082.0,1701882982.0,2023-12-06 09:48:44,Event - After Search Product Click,Pea Starch (Organic) by Yosin
12/6/2023,1884972372.0,12082,1701882982,2023-12-06 09:16:24,Event - Site Search,pea protein,12/6/2023,1884972372.0,Event - Search Result,exist search result,2023-12-06,1884972372.1625528,12082.0,1701882982.0,2023-12-06 09:50:18,Event - After Search Product Click,Organic Pea protein 80% Powder by Qimei
12/6/2023,1884972372.0,12082,1701882982,2023-12-06 09:16:24,Event - Site Search,pea protein,12/6/2023,1884972372.0,Event - Search Result,exist search result,2023-12-06,1884972372.1625528,12082.0,1701882982.0,2023-12-06 09:50:26,Event - After Search Product Click,Pea Protein Isolate YW800A by Yuwang Eco.
12/6/2023,1884972372.0,12082,1701882982,2023-12-06 09:16:24,Event - Site Search,pea protein,12/6/2023,1884972372.0,Event - Search Result,exist search result,2023-12-06,1884972372.1625528,12082.0,1701882982.0,2023-12-06 09:53:02,Event - After Search Product Click,Pea Protein Isolate 85% by Yosin
12/6/2023,1884972372.0,12082,1701882982,2023-12-06 09:16:24,Event - Site Search,pea protein,12/6/2023,1884972372.0,Event - Search Result,exist search result,2023-12-06,1884972372.1625528,12082.0,1701882982.0,2023-12-06 09:55:27,Event - After Search Product Click,Organic Pea protein 80% Powder by Qimei
12/6/2023,1884972372.0,12082,1701888217,2023-12-06 10:43:39,Event - Site Search,MCT Oil Powder,12/6/2023,1884972372.0,Event - Search Result,exist search result,2023-12-06,1884972372.1625528,12082.0,1701888217.0,2023-12-06 10:45:08,Event - After Search Product Click,MCT Oil Powder 70% on Gum Arabic by Connoils
12/6/2023,1884972372.0,12082,1701888217,2023-12-06 11:18:32,Event - Site Search,guar gum,12/6/2023,1884972372.0,Event - Search Result,exist search result,2023-12-06,1884972372.1625528,12082.0,1701888217.0,2023-12-06 11:25:49,Event - After Search Product Click,Guar Gum Powder 260F by Neelkanth Polymers
12/6/2023,1884972372.0,12082,1701888217,2023-12-06 11:28:42,Event - Site Search,soy protein,12/6/2023,1884972372.0,Event - Search Result,exist search result,2023-12-06,1884972372.1625528,12082.0,1701888217.0,2023-12-06 11:29:00,Event - After Search Product Click,Soy Protein Isolate 90% (YP928C) by Yuwang Eco.
12/6/2023,1884972372.0,12082,1701888217,2023-12-06 11:28:42,Event - Site Search,soy protein,12/6/2023,1884972372.0,Event - Search Result,exist search result,2023-12-06,1884972372.1625528,12082.0,1701888217.0,2023-12-06 11:29:46,Event - After Search Product Click,Soy Protein Isolate 90% (YP901B) by Yuwang Eco.
12/6/2023,1884972372.0,12082,1701888217,2023-12-06 11:28:42,Event - Site Search,soy protein,12/6/2023,1884972372.0,Event - Search Result,exist search result,2023-12-06,1884972372.1625528,12082.0,1701888217.0,2023-12-06 11:30:24,Event - After Search Product Click,Soy Protein Isolate 90% (YP928Z) by Yuwang Eco.
12/6/2023,1884972372.0,12082,1701888217,2023-12-06 11:28:42,Event - Site Search,soy protein,12/6/2023,1884972372.0,Event - Search Result,exist search result,2023-12-06,1884972372.1625528,12082.0,1701888217.0,2023-12-06 11:30:44,Event - After Search Product Click,Soy Protein Isolate 90% (YP928C) by Yuwang Eco.
12/6/2023,1884972372.0,12082,1701900357,2023-12-06 14:10:42,Event - Site Search,cane sugar,12/6/2023,1884972372.0,Event - Search Result,exist search result,2023-12-06,1884972372.1625528,12082.0,1701900357.0,2023-12-06 14:10:55,Event - After Search Product Click,Organic Cane Sugar by Suzanne's Specialties
12/6/2023,1884972372.0,12082,1701900357,2023-12-06 14:10:42,Event - Site Search,cane sugar,12/6/2023,1884972372.0,Event - Search Result,exist search result,2023-12-06,1884972372.1625528,12082.0,1701900357.0,2023-12-06 14:14:44,Event - After Search Product Click,Soy Protein Isolate 90% (YP928C) by Yuwang Eco.
12/6/2023,1884972372.0,12082,1701900357,2023-12-06 14:10:42,Event - Site Search,cane sugar,12/6/2023,1884972372.0,Event - Search Result,exist search result,2023-12-06,1884972372.1625528,12082.0,1701900357.0,2023-12-06 14:16:53,Event - After Search Product Click,Soy Protein Isolate 90% (YP901B) by Yuwang Eco.
12/6/2023,1884972372.0,12082,1701900357,2023-12-06 14:10:42,Event - Site Search,cane sugar,12/6/2023,1884972372.0,Event - Search Result,exist search result,2023-12-06,1884972372.1625528,12082.0,1701900357.0,2023-12-06 14:17:14,Event - After Search Product Click,Soy Protein Isolate 90% (YP928C) by Yuwang Eco.
12/6/2023,27681654.17,12082,1701877345,2023-12-06 07:43:19,Event - Site Search,organic papaya,12/6/2023,27681654.17,Event - Search Result,exist search result,2023-12-06,27681654.16853747,12082.0,1701877345.0,2023-12-06 07:43:33,Event - After Search Product Click,Carica Papaya Extract 10:1 by TRG
12/6/2023,27681654.17,12082,1701877345,2023-12-06 07:43:19,Event - Site Search,organic papaya,12/6/2023,27681654.17,Event - Search Result,exist search result,2023-12-06,27681654.16853747,12082.0,1701877345.0,2023-12-06 07:43:57,Event - After Search Product Click,Papaya Powder by Shandong Lirun Health Technology
