,report_date,cookie_id,customer_id,ga_session_id,event_timestamp,Event - Site Search,Event - Search Result,after_event_timestamp,after_event_name,after_event_value,product_sku
27,2023-12-06,1884972372.1625528,12082,1701900357,2023-12-06 14:10:42,cane sugar,exist search result,2023-12-06 14:17:14,Event - After Search Product Click,Soy Protein Isolate 90% (YP928C) by Yuwang Eco., 41130-YUWANG-11618
28,2023-12-06,27681654.16853747,12082,1701877345,2023-12-06 07:43:19,organic papaya,exist search result,2023-12-06 07:43:33,Event - After Search Product Click,Carica Papaya Extract 10:1 by TRG, 106864-TRG-11248
29,2023-12-06,27681654.16853747,12082,1701877345,2023-12-06 07:43:19,organic papaya,exist search result,2023-12-06 07:43:57,Event - After Search Product Click,Papaya Powder by Shandong Lirun Health Technology, 108809-SHALIR-12649
30,2023-12-06,1884972372.1625528,12082,1701888217,2023-12-06 10:53:14,avocado oil,exist search result,,,,
31,2023-12-06,1884972372.1625528,12082,1701888217,2023-12-06 11:18:32,guar gum,exist search result,,,,
32,2023-12-06,1366693949.169178,12082,1701879012,2023-12-06 08:13:03,mcc,exist search result,,,,
33,2023-12-06,1884972372.1625528,12082,1701874227,2023-12-06 06:50:42,royal jelly pwder,exist search result,,,,
34,2023-12-06,1884972372.1625528,12082,1701874227,2023-12-06 06:50:55,r,exist search result,,,,
35,2023-12-06,1884972372.1625528,12082,1701874227,2023-12-06 06:51:11,royal jelly powder,exist search result,,,,
36,2023-12-06,1884972372.1625528,12082,1701874227,2023-12-06 06:51:53,red maca root,exist search result,,,,
37,2023-12-06,1884972372.1625528,12082,1701874227,2023-12-06 06:53:20,bee propolis,exist search result,,,,
38,2023-12-06,1884972372.1625528,12082,1701900357,2023-12-06 14:06:00,resveratrol,exist search result,,,,
39,2023-12-06,1884972372.1625528,12082,1701903883,2023-12-06 15:04:51,coconut creamer,exist search result,,,,
40,2023-12-06,1884972372.1625528,12082,1701903883,2023-12-06 15:12:51,coconut creamer,exist search result,,,,
41,2023-12-06,27681654.16853747,12082,1701877345,2023-12-06 07:42:59,organic papya,exist search result,,,,
